id,label,group,category,width,height,animation_states,multi_frame_states,frame_entries,native_png_paths,opaque_pngs,transparent_pngs,fractional_alpha_pngs,state,notes
overlay-road-dashed,Dashed ochre road line,environment,terrain-overlay,32,32,0,0,0,1,0,1,1,,
overlay-road-solid,Solid ochre road line,environment,terrain-overlay,32,32,0,0,0,1,0,1,1,,
overlay-puddle,Slate puddle,environment,terrain-overlay,32,32,0,0,0,1,0,1,1,,
overlay-debris,Rubble and paper debris,environment,terrain-overlay,32,32,0,0,0,1,0,1,1,,
nature-pine,Pine tree,props,nature,64,96,0,0,0,1,0,1,1,,
nature-broadleaf,Broadleaf tree,props,nature,80,96,0,0,0,1,0,1,1,,
nature-dead-tree,Dead tree,props,nature,64,96,0,0,0,1,0,1,1,,
nature-bush,Low bush,props,nature,32,32,0,0,0,1,0,1,1,,
nature-reeds,Reeds,props,nature,24,32,0,0,0,1,0,1,1,,
nature-rock-cluster,Rock cluster,props,nature,32,24,0,0,0,1,0,1,1,,
nature-stump,Tree stump,props,nature,24,24,0,0,0,1,0,1,1,,
nature-fallen-log,Fallen log,props,nature,48,24,0,0,0,1,0,1,1,,
prop-barrel,Oil barrel,props,prop,24,32,0,0,0,1,0,1,1,,
prop-dumpster,Dumpster,props,prop,48,32,0,0,0,1,0,1,1,,
prop-concrete-barrier,Concrete barrier,props,prop,48,24,0,0,0,1,0,1,1,,
prop-pallet-stack,Pallet stack,props,prop,32,32,0,0,0,1,0,1,1,,
prop-workbench,Scavenger workbench,props,prop,48,32,0,0,0,1,0,1,1,,
prop-bed,Bed,props,prop,48,32,0,0,0,1,0,1,1,,
prop-chair,Wooden chair,props,prop,24,32,0,0,0,1,0,1,1,,
prop-table,Wooden table,props,prop,40,32,0,0,0,1,0,1,1,,
prop-fridge,Old refrigerator,props,prop,24,40,0,0,0,1,0,1,1,,
prop-shelf,Supply shelf,props,prop,40,32,0,0,0,1,0,1,1,,
prop-medical-cabinet,Medical cabinet,props,prop,24,32,0,0,0,1,0,1,1,,
prop-streetlamp,Streetlamp,props,prop,24,64,0,0,0,1,0,1,1,,
prop-road-sign,Blank road sign,props,prop,24,40,0,0,0,1,0,1,1,,
prop-traffic-cone,Traffic cone,props,prop,16,24,0,0,0,1,0,1,1,,
prop-trash-bags,Rubbish bags,props,prop,32,24,0,0,0,1,0,1,1,,
prop-fence-post,Fence post,props,prop,16,32,0,0,0,1,0,1,1,,
prop-wood-crate-closed,Wooden crate / closed,props,container,32,32,0,0,0,1,0,1,1,closed,
prop-wood-crate-open,Wooden crate / open,props,container,32,32,0,0,0,1,0,1,1,open,
prop-wood-crate-empty,Wooden crate / empty,props,container,32,32,0,0,0,1,0,1,1,empty,
prop-metal-footlocker-closed,Metal footlocker / closed,props,container,32,32,0,0,0,1,0,1,1,closed,
prop-metal-footlocker-open,Metal footlocker / open,props,container,32,32,0,0,0,1,0,1,1,open,
prop-metal-footlocker-empty,Metal footlocker / empty,props,container,32,32,0,0,0,1,0,1,1,empty,
prop-medical-box-closed,Medical box / closed,props,container,32,32,0,0,0,1,0,1,1,closed,
prop-medical-box-open,Medical box / open,props,container,32,32,0,0,0,1,0,1,1,open,
prop-medical-box-empty,Medical box / empty,props,container,32,32,0,0,0,1,0,1,1,empty,
item-pistol,Pistol,items,inventory,32,32,0,0,0,1,0,1,1,,
item-revolver,Revolver,items,inventory,32,32,0,0,0,1,0,1,1,,
item-smg,Smg,items,inventory,32,32,0,0,0,1,0,1,1,,
item-pump-shotgun,Pump Shotgun,items,inventory,32,32,0,0,0,1,0,1,1,,
item-assault-rifle,Assault Rifle,items,inventory,32,32,0,0,0,1,0,1,1,,
item-bolt-rifle,Bolt Rifle,items,inventory,32,32,0,0,0,1,0,1,1,,
item-bow,Bow,items,inventory,32,32,0,0,0,1,0,1,1,,
item-crossbow,Crossbow,items,inventory,32,32,0,0,0,1,0,1,1,,
item-kitchen-knife,Kitchen Knife,items,inventory,32,32,0,0,0,1,0,1,1,,
item-hatchet,Hatchet,items,inventory,32,32,0,0,0,1,0,1,1,,
item-crowbar,Crowbar,items,inventory,32,32,0,0,0,1,0,1,1,,
item-baseball-bat,Baseball Bat,items,inventory,32,32,0,0,0,1,0,1,1,,
item-pistol-rounds,Pistol Rounds,items,inventory,32,32,0,0,0,1,0,1,1,,
item-rifle-rounds,Rifle Rounds,items,inventory,32,32,0,0,0,1,0,1,1,,
item-shells,Shells,items,inventory,32,32,0,0,0,1,0,1,1,,
item-arrows,Arrows,items,inventory,32,32,0,0,0,1,0,1,1,,
item-bolts,Bolts,items,inventory,32,32,0,0,0,1,0,1,1,,
item-empty-magazine,Empty Magazine,items,inventory,32,32,0,0,0,1,0,1,1,,
item-water-bottle,Water Bottle,items,inventory,32,32,0,0,0,1,0,1,1,,
item-tin-beans,Tin Beans,items,inventory,32,32,0,0,0,1,0,1,1,,
item-tinned-meat,Tinned Meat,items,inventory,32,32,0,0,0,1,0,1,1,,
item-bread,Bread,items,inventory,32,32,0,0,0,1,0,1,1,,
item-apple,Apple,items,inventory,32,32,0,0,0,1,0,1,1,,
item-mre,Mre,items,inventory,32,32,0,0,0,1,0,1,1,,
item-bandage-roll,Bandage Roll,items,inventory,32,32,0,0,0,1,0,1,1,,
item-first-aid-kit,First Aid Kit,items,inventory,32,32,0,0,0,1,0,1,1,,
item-painkillers,Painkillers,items,inventory,32,32,0,0,0,1,0,1,1,,
item-antiseptic,Antiseptic,items,inventory,32,32,0,0,0,1,0,1,1,,
item-splint,Splint,items,inventory,32,32,0,0,0,1,0,1,1,,
item-antibiotics,Antibiotics,items,inventory,32,32,0,0,0,1,0,1,1,,
item-scrap,Scrap,items,inventory,32,32,0,0,0,1,0,1,1,,
item-wood-planks,Wood Planks,items,inventory,32,32,0,0,0,1,0,1,1,,
item-cloth,Cloth,items,inventory,32,32,0,0,0,1,0,1,1,,
item-wire,Wire,items,inventory,32,32,0,0,0,1,0,1,1,,
item-electronics,Electronics,items,inventory,32,32,0,0,0,1,0,1,1,,
item-battery,Battery,items,inventory,32,32,0,0,0,1,0,1,1,,
item-fuel-can,Fuel Can,items,inventory,32,32,0,0,0,1,0,1,1,,
item-toolkit,Toolkit,items,inventory,32,32,0,0,0,1,0,1,1,,
item-backpack,Backpack,items,inventory,32,32,0,0,0,1,0,1,1,,
item-helmet,Helmet,items,inventory,32,32,0,0,0,1,0,1,1,,
item-vest,Vest,items,inventory,32,32,0,0,0,1,0,1,1,,
item-gas-mask,Gas Mask,items,inventory,32,32,0,0,0,1,0,1,1,,
item-flashlight,Flashlight,items,inventory,32,32,0,0,0,1,0,1,1,,
item-radio,Radio,items,inventory,32,32,0,0,0,1,0,1,1,,
item-binoculars,Binoculars,items,inventory,32,32,0,0,0,1,0,1,1,,
item-map,Map,items,inventory,32,32,0,0,0,1,0,1,1,,
item-key,Key,items,inventory,32,32,0,0,0,1,0,1,1,,
item-repair-kit,Repair Kit,items,inventory,32,32,0,0,0,1,0,1,1,,
weapon-pistol,Pistol held,items,held-weapon,24,16,0,0,0,1,0,1,1,,
weapon-revolver,Revolver held,items,held-weapon,24,16,0,0,0,1,0,1,1,,
weapon-smg,Smg held,items,held-weapon,32,16,0,0,0,1,0,1,1,,
weapon-pump-shotgun,Pump Shotgun held,items,held-weapon,48,16,0,0,0,1,0,1,1,,
weapon-assault-rifle,Assault Rifle held,items,held-weapon,48,16,0,0,0,1,0,1,1,,
weapon-bolt-rifle,Bolt Rifle held,items,held-weapon,48,16,0,0,0,1,0,1,1,,
weapon-bow,Bow held,items,held-weapon,24,32,0,0,0,1,0,1,1,,
weapon-crossbow,Crossbow held,items,held-weapon,48,24,0,0,0,1,0,1,1,,
weapon-kitchen-knife,Kitchen Knife held,items,held-weapon,24,16,0,0,0,1,0,1,1,,
weapon-hatchet,Hatchet held,items,held-weapon,24,16,0,0,0,1,0,1,1,,
weapon-crowbar,Crowbar held,items,held-weapon,32,16,0,0,0,1,0,1,1,,
weapon-baseball-bat,Baseball Bat held,items,held-weapon,32,16,0,0,0,1,0,1,1,,
fx-pistol-muzzle,Pistol muzzle flash,effects,effects,32,16,1,1,4,4,0,4,4,,
fx-rifle-muzzle,Rifle muzzle flash,effects,effects,32,16,1,1,4,4,0,4,4,,
fx-shotgun-muzzle,Shotgun muzzle flash,effects,effects,32,16,1,1,4,4,0,4,4,,
fx-metal-sparks,Metal impact sparks,effects,effects,32,32,1,1,4,4,0,4,4,,
fx-concrete-dust,Concrete impact dust,effects,effects,32,32,1,1,4,4,0,4,4,,
fx-wood-splinters,Wood impact splinters,effects,effects,32,32,1,1,4,4,0,4,4,,
fx-blood-hit,Blood hit,effects,effects,32,32,1,1,4,4,0,4,4,,
fx-water-splash,Water splash,effects,effects,32,32,1,1,4,4,0,4,4,,
fx-explosion,Small explosion,effects,effects,64,64,1,1,4,4,0,4,4,,
fx-flame-loop,Flame loop,effects,effects,32,48,1,1,4,4,0,4,4,,
fx-smoke-loop,Smoke loop,effects,effects,48,64,1,1,4,4,0,4,4,,
fx-ejected-casing,Ejected casing bounce,effects,effects,32,32,1,1,4,4,0,4,4,,
fx-blood-pool-dry,Dried blood pool,effects,decals,32,32,0,0,0,1,0,1,1,,
fx-blood-pool-fresh,Fresh blood pool,effects,decals,32,32,0,0,0,1,0,1,1,,
fx-bullet-hole-metal,Metal bullet hole,effects,decals,32,32,0,0,0,1,0,1,1,,
fx-bullet-hole-concrete,Concrete bullet hole,effects,decals,32,32,0,0,0,1,0,1,1,,
fx-scorch-mark,Scorch mark,effects,decals,32,32,0,0,0,1,0,1,1,,
fx-wood-chips,Wood chips,effects,decals,32,32,0,0,0,1,0,1,1,,
fx-shell-pile,Shell casing pile,effects,decals,32,32,0,0,0,1,0,1,1,,
fx-footprint,Muddy footprint,effects,decals,32,32,0,0,0,1,0,1,1,,
vehicle-hatchback-intact,Hatchback · intact,utility,vehicles,96,48,0,0,0,1,0,1,1,intact,
vehicle-hatchback-wreck,Hatchback · wreck,utility,vehicles,96,48,0,0,0,1,0,1,1,wreck,
vehicle-van-intact,Van · intact,utility,vehicles,112,56,0,0,0,1,0,1,1,intact,
vehicle-van-wreck,Van · wreck,utility,vehicles,112,56,0,0,0,1,0,1,1,wreck,
vehicle-pickup-intact,Pickup · intact,utility,vehicles,112,56,0,0,0,1,0,1,1,intact,
vehicle-pickup-wreck,Pickup · wreck,utility,vehicles,112,56,0,0,0,1,0,1,1,wreck,
vehicle-ambulance-intact,Ambulance · intact,utility,vehicles,112,56,0,0,0,1,0,1,1,intact,
vehicle-ambulance-wreck,Ambulance · wreck,utility,vehicles,112,56,0,0,0,1,0,1,1,wreck,
utility-generator-off,Generator off,utility,utilities,40,48,0,0,0,1,0,1,1,,
utility-generator-on,Generator running,utility,utilities,40,48,1,1,4,4,0,4,4,running,
utility-barricade-intact,Wood barricade intact,utility,utilities,48,40,0,0,0,1,0,1,1,,
utility-barricade-broken,Wood barricade broken,utility,utilities,48,40,0,0,0,1,0,1,1,,
utility-rain-collector,Rain collector,utility,utilities,40,48,0,0,0,1,0,1,1,,
utility-stove,Iron stove,utility,utilities,32,40,0,0,0,1,0,1,1,,
utility-worklamp-off,Work lamp off,utility,utilities,40,48,0,0,0,1,0,1,1,off,
utility-spike-trap-armed,Spike trap armed,utility,utilities,40,40,0,0,0,1,0,1,1,,
utility-spike-trap-triggered,Spike trap triggered,utility,utilities,40,40,0,0,0,1,0,1,1,,
utility-worklamp-on,Work lamp on,utility,utilities,40,48,0,0,0,1,0,1,1,on,
utility-worklamp-activation,Work lamp activation,utility,utilities,40,48,1,1,4,5,0,5,5,,
ui-crosshair,Crosshair,utility,ui,16,16,0,0,0,1,0,1,1,,
ui-interaction-hand,Interaction Hand,utility,ui,16,16,0,0,0,1,0,1,1,,
ui-backpack,Backpack,utility,ui,16,16,0,0,0,1,0,1,1,,
ui-health,Health,utility,ui,16,16,0,0,0,1,0,1,1,,
ui-hunger,Hunger,utility,ui,16,16,0,0,0,1,0,1,1,,
ui-thirst,Thirst,utility,ui,16,16,0,0,0,1,0,1,1,,
ui-stamina,Stamina,utility,ui,16,16,0,0,0,1,0,1,1,,
ui-radio,Radio,utility,ui,16,16,0,0,0,1,0,1,1,,
ui-warning,Warning,utility,ui,16,16,0,0,0,1,0,1,1,,
ui-ammo,Ammo,utility,ui,16,16,0,0,0,1,0,1,1,,
ui-lock,Lock,utility,ui,16,16,0,0,0,1,0,1,1,,
ui-work,Work,utility,ui,16,16,0,0,0,1,0,1,1,,
ui-wound,Wound,utility,ui,16,16,0,0,0,1,0,1,1,,
ui-temperature,Temperature,utility,ui,16,16,0,0,0,1,0,1,1,,
ui-map-marker,Map Marker,utility,ui,16,16,0,0,0,1,0,1,1,,
ui-exit,Exit,utility,ui,16,16,0,0,0,1,0,1,1,,
gear-vest,Olive utility vest,wearables,wearable,32,48,4,0,4,4,0,4,4,standing-overlay,Static four-direction overlay fitted to approved survivor idle. No human parts baked in. Animated walk fit needs future per-frame rigging.
gear-helmet,Olive steel helmet,wearables,wearable,32,48,4,0,4,4,0,4,4,standing-overlay,Static four-direction overlay fitted to approved survivor idle. No human parts baked in. Animated walk fit needs future per-frame rigging.
gear-gasmask,Graphite respirator,wearables,wearable,32,48,4,0,4,4,0,4,4,standing-overlay,Static four-direction overlay fitted to approved survivor idle. No human parts baked in. Animated walk fit needs future per-frame rigging.
gear-backpack,Tan canvas backpack,wearables,wearable,32,48,4,0,4,4,0,4,4,standing-overlay,Static four-direction overlay fitted to approved survivor idle. No human parts baked in. Animated walk fit needs future per-frame rigging.
